path,loc,username
node_modules/express/LICENSE,24,Thiagolourenco
node_modules/figures/license,18,Thiagolourenco
node_modules/finalhandler/LICENSE,22,Thiagolourenco
node_modules/flatted/LICENSE,30,Thiagolourenco
node_modules/forwarded/LICENSE,22,Thiagolourenco
node_modules/fresh/LICENSE,23,Thiagolourenco
node_modules/gauge/LICENSE,13,Thiagolourenco
node_modules/glob/LICENSE,21,Thiagolourenco
node_modules/globals/license,18,Thiagolourenco
node_modules/got/license,21,Thiagolourenco
node_modules/ieee754/LICENSE,11,Thiagolourenco
node_modules/inflight/LICENSE,15,Thiagolourenco
node_modules/inherits/LICENSE,16,Thiagolourenco
node_modules/ini/LICENSE,15,Thiagolourenco
node_modules/inquirer/LICENSE,44,Thiagolourenco
node_modules/inquirer/node_modules/chalk/license,9,Thiagolourenco
node_modules/isarray/Makefile,6,Thiagolourenco
node_modules/isexe/LICENSE,15,Thiagolourenco
node_modules/kareem/LICENSE,202,Thiagolourenco
node_modules/kareem/Makefile,5,Thiagolourenco
node_modules/levn/LICENSE,44,Thiagolourenco
node_modules/lodash/LICENSE,47,Thiagolourenco
node_modules/methods/LICENSE,24,Thiagolourenco
node_modules/mime/LICENSE,21,Thiagolourenco
node_modules/minimatch/LICENSE,15,Thiagolourenco
node_modules/minimist/LICENSE,18,Thiagolourenco
node_modules/minipass/LICENSE,15,Thiagolourenco
node_modules/minizlib/LICENSE,26,Thiagolourenco
node_modules/mkdirp/LICENSE,21,Thiagolourenco
node_modules/mpath/LICENSE,22,Thiagolourenco
node_modules/mpath/Makefile,4,Thiagolourenco
node_modules/mquery/LICENSE,22,Thiagolourenco
node_modules/mquery/Makefile,26,Thiagolourenco
node_modules/mquery/node_modules/debug/LICENSE,19,Thiagolourenco
node_modules/mquery/node_modules/debug/Makefile,58,Thiagolourenco
node_modules/multer/LICENSE,34,Thiagolourenco
node_modules/mz/LICENSE,22,Thiagolourenco
node_modules/negotiator/LICENSE,24,Thiagolourenco
node_modules/nodemon/LICENSE,21,Thiagolourenco
node_modules/nodemon/node_modules/debug/LICENSE,19,Thiagolourenco
node_modules/nopt/LICENSE,23,Thiagolourenco
node_modules/npmlog/LICENSE,15,Thiagolourenco
node_modules/once/LICENSE,15,Thiagolourenco
node_modules/onetime/license,18,Thiagolourenco
node_modules/optionator/LICENSE,44,Thiagolourenco
node_modules/parseurl/LICENSE,24,Thiagolourenco
node_modules/picomatch/LICENSE,21,Thiagolourenco
node_modules/pify/license,9,Thiagolourenco
node_modules/pirates/LICENSE,21,Thiagolourenco
node_modules/progress/LICENSE,44,Thiagolourenco
node_modules/progress/Makefile,16,Thiagolourenco
node_modules/pseudomap/LICENSE,15,Thiagolourenco
node_modules/pump/LICENSE,21,Thiagolourenco
node_modules/qs/LICENSE,28,Thiagolourenco
node_modules/readdirp/LICENSE,21,Thiagolourenco
node_modules/regexpp/LICENSE,42,Thiagolourenco
node_modules/require_optional/LICENSE,201,Thiagolourenco
node_modules/rimraf/LICENSE,30,Thiagolourenco
node_modules/saslprep/LICENSE,22,Thiagolourenco
node_modules/semver/LICENSE,15,Thiagolourenco
node_modules/semver/bin/semver,160,Thiagolourenco
node_modules/send/LICENSE,23,Thiagolourenco
node_modules/setprototypeof/LICENSE,13,Thiagolourenco
node_modules/sharp/LICENSE,191,Thiagolourenco
node_modules/sharp/node_modules/semver/LICENSE,15,Thiagolourenco
node_modules/sharp/vendor/include/vips/vips8,57,Thiagolourenco
node_modules/sliced/LICENSE,22,Thiagolourenco
node_modules/statuses/LICENSE,23,Thiagolourenco
node_modules/streamsearch/LICENSE,38,Thiagolourenco
node_modules/string_decoder/LICENSE,68,Thiagolourenco
node_modules/sucrase/LICENSE,21,Thiagolourenco
node_modules/sucrase/bin/sucrase,3,Thiagolourenco
node_modules/table/LICENSE,48,Thiagolourenco
node_modules/tar/LICENSE,15,Thiagolourenco
node_modules/tar/node_modules/mkdirp/LICENSE,21,Thiagolourenco
node_modules/thenify/LICENSE,22,Thiagolourenco
node_modules/tmp/LICENSE,42,Thiagolourenco
node_modules/toidentifier/LICENSE,21,Thiagolourenco
node_modules/touch/LICENSE,15,Thiagolourenco
node_modules/typedarray/LICENSE,70,Thiagolourenco
node_modules/undefsafe/LICENSE,22,Thiagolourenco
node_modules/unpipe/LICENSE,22,Thiagolourenco
node_modules/vary/LICENSE,22,Thiagolourenco
node_modules/which/LICENSE,15,Thiagolourenco
node_modules/which/bin/which,52,Thiagolourenco
node_modules/wordwrap/LICENSE,18,Thiagolourenco
node_modules/wrappy/LICENSE,15,Thiagolourenco
node_modules/write/LICENSE,42,Thiagolourenco
node_modules/xtend/LICENSE,40,Thiagolourenco
node_modules/yallist/LICENSE,15,Thiagolourenco
npmignore,512,Thiagolourenco
nvmrc,1,Thiagolourenco
nycrc,31,Thiagolourenco
out,52,Thiagolourenco
patch,5219,Thiagolourenco
pbxproj,2276,Thiagolourenco
plist,320,Thiagolourenco
png,0,Thiagolourenco
pro,27,Thiagolourenco
properties,39,Thiagolourenco
public/_redirects,1,Thiagolourenco
realpath/LICENSE,43,Thiagolourenco
remy/LICENSE,7,Thiagolourenco
remy/tests/fixtures/out1,10,Thiagolourenco
remy/tests/fixtures/out2,29,Thiagolourenco
sh,61,Thiagolourenco
so,35,Thiagolourenco
svg,8,Thiagolourenco
tar,0,Thiagolourenco
trimleft/LICENSE,22,Thiagolourenco
trimright/LICENSE,22,Thiagolourenco
ts,74221,Thiagolourenco
txt,2335,Thiagolourenco
values/LICENSE,22,Thiagolourenco
watchmanconfig,2,Thiagolourenco
xcscheme,516,Thiagolourenco
xib,84,Thiagolourenco
xml,40,Thiagolourenco
yml,4746,Thiagolourenco
0,245,jeffAntonis
MF,2,jeffAntonis
android/app/BUCK,65,jeffAntonis
android/gradlew,164,jeffAntonis
android/keystores/BUCK,8,jeffAntonis
ap_,0,jeffAntonis
api/Gemfile,2,jeffAntonis
api/Rakefile,6,jeffAntonis
api/bin/bundle,3,jeffAntonis
api/bin/rails,4,jeffAntonis
api/bin/rake,4,jeffAntonis
api/bin/setup,34,jeffAntonis
api/bin/update,29,jeffAntonis
apk,0,jeffAntonis
app/android/app/_BUCK,55,jeffAntonis
app/android/gradlew,183,jeffAntonis
app/ios/Podfile,33,jeffAntonis
babelrc,3,jeffAntonis
backend/db/trofeus,0,jeffAntonis
bat,383,jeffAntonis
bin,0,jeffAntonis
buckconfig,12,jeffAntonis
bzl,38,jeffAntonis
class,0,jeffAntonis
classpath,6,jeffAntonis
css,200,jeffAntonis
d,3,jeffAntonis
dart,338,jeffAntonis
dex,0,jeffAntonis
dill,0,jeffAntonis
editorconfig,26,jeffAntonis
env,2,jeffAntonis
eot,0,jeffAntonis
erb,14,jeffAntonis
eslintignore,12,jeffAntonis
example,3,jeffAntonis
fingerprint,2,jeffAntonis
flat,0,jeffAntonis
flowconfig,47,jeffAntonis
flutter/android/gradlew,160,jeffAntonis
flutter/build/app/intermediates/merged_assets/debug/mergeDebugAssets/out/flutter_assets/LICENSE,0,jeffAntonis
flutter/build/app/intermediates/merged_assets/debug/mergeDebugAssets/out/flutter_assets/isolate_snapshot_data,0,jeffAntonis
flutter/build/app/intermediates/merged_assets/debug/mergeDebugAssets/out/flutter_assets/vm_snapshot_data,0,jeffAntonis
gitattributes,2,jeffAntonis
gitignore,513,jeffAntonis
gradle,461,jeffAntonis
gson,3,jeffAntonis
h,65,jeffAntonis
html,244,jeffAntonis
ico,0,jeffAntonis
iml,45,jeffAntonis
jar,0,jeffAntonis
java,23424,jeffAntonis
jpeg,0,jeffAntonis
jpg,0,jeffAntonis
js,3815,jeffAntonis
json,43934,jeffAntonis
jsx,387,jeffAntonis
keep,0,jeffAntonis
keystore,0,jeffAntonis
lock,26360,jeffAntonis
m,439,jeffAntonis
md,581,jeffAntonis
metadata,10,jeffAntonis
mwb,0,jeffAntonis
packages,23,jeffAntonis
pbxproj,3142,jeffAntonis
plist,580,jeffAntonis
png,0,jeffAntonis
prefs,11,jeffAntonis
prettierrc,13,jeffAntonis
pro,90,jeffAntonis
project,17,jeffAntonis
properties,194,jeffAntonis
rb,741,jeffAntonis
ru,5,jeffAntonis
scss,304,jeffAntonis
ser,0,jeffAntonis
sha1,2,jeffAntonis
so,0,jeffAntonis
static/_redirects,2,jeffAntonis
storyboard,184,jeffAntonis
svg,1202,jeffAntonis
ts,1818,jeffAntonis
tsx,1105,jeffAntonis
ttf,0,jeffAntonis
txt,3801,jeffAntonis
watchmanconfig,2,jeffAntonis
woff,0,jeffAntonis
woff2,0,jeffAntonis
xcconfig,13,jeffAntonis
xcscheme,874,jeffAntonis
xcworkspacedata,28,jeffAntonis
xib,84,jeffAntonis
xml,7729,jeffAntonis
yaml,74,jeffAntonis
yml,135,jeffAntonis
0,46358,graterolz
DS_Store,0,graterolz
MF,5,graterolz
afm,23636,graterolz
aspx,170,graterolz
bin,0,graterolz
buildinfo,4,graterolz
c,765,graterolz
classpath,97,graterolz
coffee,7746,graterolz
config,166,graterolz
cpp,475,graterolz
cs,130,graterolz
csproj,53,graterolz
css,64451,graterolz
csslintrc,57,graterolz
db,0,graterolz
editorconfig,33,graterolz
eot,0,graterolz
exe,0,graterolz
form,607,graterolz
gif,0,graterolz
gitattributes,69,graterolz
gitignore,1187,graterolz
gradle,23,graterolz
htaccess,36,graterolz
htm,3361,graterolz
html,182740,graterolz
ico,0,graterolz
iml,32,graterolz
inv,0,graterolz
java,19379,graterolz
jpeg,0,graterolz
jpg,0,graterolz
js,467638,graterolz
jscsrc,126,graterolz
jshintrc,99,graterolz
json,5264,graterolz
lang,4659,graterolz
less,30772,graterolz
lock,0,graterolz
map,5018,graterolz
md,17809,graterolz
mdb,0,graterolz
myapp,60,graterolz
npmignore,126,graterolz
nuspec,236,graterolz
otf,0,graterolz
pbix,0,graterolz
pdf,0,graterolz
php,153101,graterolz
png,0,graterolz
prefs,139,graterolz
project,188,graterolz
properties,8,graterolz
ps1,26,graterolz
psd,0,graterolz
py,231,graterolz
pyc,0,graterolz
resources/bower_components/moment/LICENSE,22,graterolz
resources/sbAdminV2/LICENSE,22,graterolz
resources/sbAdminV2/bower_components/bootstrap/LICENSE,21,graterolz
resources/sbAdminV2/bower_components/flot/Makefile,12,graterolz
resources/sbAdminV2/bower_components/metisMenu/LICENSE,20,graterolz
resources/sbAdminV2/bower_components/mocha/LICENSE,22,graterolz
resx,15002,graterolz
rst,70,graterolz
scss,6807,graterolz
settings,49,graterolz
sh,383,graterolz
sln,149,graterolz
sql,62734,graterolz
svg,4564,graterolz
tab,2151,graterolz
ts,712,graterolz
ttf,0,graterolz
txt,1034,graterolz
vb,12742,graterolz
vbproj,1187,graterolz
woff,0,graterolz
woff2,0,graterolz
xaml,321,graterolz
xls,0,graterolz
xlsx,0,graterolz
xml,4611,graterolz
yml,515,graterolz
z,0,graterolz
zip,0,graterolz
0,2308,Bubex
0/TMFG vAlpha_Data/Mono/etc/mono/config,54,Bubex
0/TMFG vAlpha_Data/Resources/unity default resources,0,Bubex
0/TMFG vAlpha_Data/Resources/unity_builtin_extra,0,Bubex
0/TMFG vAlpha_Data/level0,0,Bubex
0/TMFG vAlpha_Data/level1,0,Bubex
0/TMFG vAlpha_Data/level2,0,Bubex
0/TMFG vAlpha_Data/level3,0,Bubex
0/TMFG vAlpha_Data/level4,0,Bubex
0/TMFG vAlpha_Data/level5,0,Bubex
0/TMFG vAlpha_Data/mainData,0,Bubex
APACHE2,15,Bubex
BSD,26,Bubex
DS_Store,0,Bubex
Jogos/DeepSweammer/DeepSweammer_Data/Mono/etc/mono/config,27,Bubex
Jogos/DeepSweammer/DeepSweammer_Data/Resources/unity default resources,0,Bubex
Jogos/DeepSweammer/DeepSweammer_Data/Resources/unity_builtin_extra,0,Bubex
Jogos/DeepSweammer/DeepSweammer_Data/globalgamemanagers,0,Bubex
Jogos/DeepSweammer/DeepSweammer_Data/level0,0,Bubex
Jogos/DeepSweammer/DeepSweammer_Data/level1,0,Bubex
